Name of Society,Address,State,District,Date of Registration,Area of Operation,Sector Type,Latitude,Longitude
saharayn universal multipurose society limited,"At & P.O. Railway Colony, Gorakkhpur, District-Gorakhpur Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,,"Haryana, UttarPradesh, Himachal, Punjab",Credit,27.1303344,80.859666
JMJ Multi State Agro Cooperative Society Ltd.,"TC 48/1442-1, Sreeniva, Parekkati House, Chathankulangara Temple South, Puthurkkara, Ayyanthole, Thrissur 680003 Kerala",KERALA,THRISSUR,13-10-2022,"Bihar, West bengal, Odisha",Agro,10.3528744,76.5120396
Devbhoomi Agro Multi State Cooperative Society Ltd.,"S/o Sateesh Kumar, Tejupur, Haridwar, Uttarakhand 247661",UTTARAKHAND,Haridwar,10-04-2022,"Tamil Nadu, karnataks",Agro,30.0417376,79.089691
Aarya Multi Specialty Cooperative Hospital and Hospital and Research Center ltd.,"Gate No 165, Nimgaon (T), Madha, Solapur, 413210 maharashtra",MAHARASHTRA,SOLAPUR,10-04-2022,"Haryana, Punajb",Health/Hospital,18.9068356,75.6741579
Agriculture Development Cooperative Federation,"A/P 344, Lower Ground Floor, Sector 86, Preet City, SAS Nagar, Mohali, Punjab
160055",PUNJAB,Mohali,22-09-2022,"Manipur, Meghalaya",Federation,30.9293211,75.5004841
Prosperity Multi State Housing Cooperative Society ltd.,"Jayem Arcade 385 A6, First Floor,
Kamarajar Road, Peelamedu, Coimbatore 641004",TAMIL NADU,COIMBATORE,15-09-2022,"Maharashtra, Gujarat, Rajasthan",Housing,10.9094334,78.3665347
Greenfield Multi State Agro Allied and Marketing Cooperative Society Ltd. (GMAAMCS),"Plot No 92, H.No 4-487, New Balaji Nagar Colony, Meerpet, Behind Janapriya Apartments, Hyderabad 500097 Telangana",TELANGANA,HYDERABAD,09-12-2022,"Gujarat, Rajasthan",Agro,17.8495919,79.1151663
Shri Sharda Agro Multi State Co- operative Society Ltd.,Shri Sharda Agro Multi State Co-operative Society Ltd.,UTTAR PRADESH,,09-02-2022,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Agro,27.1303344,80.859666
Nature Delight Multi State Cooperative Dairy & Agro Products Ltd.,"Kalas Gate, No 1189, A/P Kalas, Indapur, Pune 413105 Maharashtra",MAHARASHTRA,Pune,31-08-2022,"Andhra Pradesh, Telangna",Agro,18.9068356,75.6741579
Travancore Cochin Tourism Cooperative Society Ltd,"Idukki, Kerala 685584",KERALA,IDUKKI,31-08-2022,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Tourism,10.3528744,76.5120396
Janamaitheri Agricultural Cooperative Society Ltd.,Janamaitheri Agricultural Cooperative Society Ltd.,KERALA,THIRUVANANTHAPURAM,16-08-2022,"Maharashtra, Gujarat, Rajasthan",Agro,10.3528744,76.5120396
Swaraj Multipurpose Federation of Cooperative Society Ltd,"Shop No 2, Yadav Market, Opposite Radha Ballav mandir, Palla Chowk, Tilak Road,
Faridabad 121001 Haryana",HARYANA,FRIDABAD,16-08-2022,"Gujarat, Rajasthan",Federation,29,76
Green Safe Multi State Agriculture Cooperative Society Ltd.,"Coimbatore, Tamil Nadu",TAMIL NADU,COIMBATORE,08-12-2022,"Haryana, Delhi",Agro,10.9094334,78.3665347
Mango Growers cooperative society Ltd. (MANCO),Visakhapatnam,ANDHRA PRADESH,VISAKHAPATANAM,08-10-2022,"Haryana, Delhi, UttarPradesh, ",Agro,15.9240905,80.1863809
Srijan Krishi Vipnan Multi State Cooperative Society Ltd.,Lucknow,UTTAR PRADESH,LUCKNOW,29-07-2022,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,27.1303344,80.859666
Kamal Multispeciality Cooperative Hospital & Research center Ltd.,Beed Maharashtra,MAHARASHTRA,BEED,22-07-2022,"Maharashtra, Gujarat, Rajasthan",Health/Hospital,18.9068356,75.6741579
Nagebaba Multi Specialty Cooperative Hospital and Research Center Ltd.,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,24-06-2022,"Haryana, Punjab, Rajasthan",Health/Hospital,18.9068356,75.6741579
The Urban Care Multi State Agro Cooperative Society Ltd.,Kerala,KERALA,KOZHIKODE,27-06-2022,"Haryana, Rajasthan",Agro,10.3528744,76.5120396
Bharathikerkar Fishermen Cooperative Ltd. (BHARATHIKERKAR),Kerala,KERALA,THRISSUR,27-06-2022,"Gujarat, Rajasthan, Haryana, Delhi",Fisheries,10.3528744,76.5120396
Swayam Samruddhi Multi State Cooperative Society Ltd.,"Hyderabad, Telangana",TELANGANA,HYDERABAD,15-06-2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro,17.8495919,79.1151663
"Shree Sai Seva Multi Specialty
Cooperative Hospital and Research center ltd","Ahmednagar, Maharashtra",MAHARASHTRA,AHMEDNAGAR,15-06-2022,"Maharashtra, Karnataka, Tamil nadu",Health/Hospital,18.9068356,75.6741579
Venkateshwara Multi State Multi Specialty Hospital and Research Ltd.,Maharashtra,MAHARASHTRA,NASIK,06-08-2022,"Haryana, Gujarat, Maharashtra, Delhi",Health/Hospital,18.9068356,75.6741579
"Bharathimanass labour and
Construction Cooperative Ltd.",Manipur,MANIPUR,BISHNUPUR,06-06-2022,"West bengal, Andhra Pradesh",Construction,24.7208818,93.9229386
Kairali Agriculture Multi State Cooperative Society Ltd.,Kerala,KERALA,THRISSUR,06-06-2022,"Maharashtra, Gujarat, Rajasthan",Agro,10.3528744,76.5120396
Jewan Kothi Multi State Agro Cooperative Society Ltd.,Uttar Pradesh,UTTAR PRADESH,BASTI,06-06-2022,"Haryana, UttarPradesh, Himachal, Punjab",Agro,27.1303344,80.859666
"Bharathimanass Agriculture
Cooperative Ltd. (BHARATHIMANAS)",Manipur,MANIPUR,BISHNUPUR,06-03-2022,"Bihar, West bengal, Odisha",Agro,24.7208818,93.9229386
"Youth Employability Skill Training
Cooperative Educational Society Ltd.",PATHANAMTHITTA,KERALA,ERNAKULAM,06-02-2022,"Tamil Nadu, karnataks",Others,10.3528744,76.5120396
Jai Ratnagarbha Agriculture Multi State Cooperative Society Ltd.,"Prayag Raj, uttar Pradesh",UTTAR PRADESH,BAREILLY,28-05-2022,"Haryana, Punajb",Agro,27.1303344,80.859666
"Shikharji Multi State Agro Processing and Marketing Cooperative Society
Ltd","Buldana, Maharashtra",MAHARASHTRA,BULDHANA,27-05-2022,"Manipur, Meghalaya",Agro,18.9068356,75.6741579
News Agriculture Export & Marketing Cooperative society Ltd.,"Kalkaji, Delhi",NEW DELHI,NEW DELHI,21-05-2022,"Maharashtra, Gujarat, Rajasthan",Agro,28.6138954,77.2090057
Krashnadi Multi State Vehicle Services Cooperative Society Ltd.,"Beed, maharashtra",MAHARASHTRA,BEED,05-12-2022,"Gujarat, Rajasthan",Others,18.9068356,75.6741579
Lotus Multi Specialty Cooperative Hospital and Research Center Ltd.,"Osmanabad, Maharashtra",MAHARASHTRA,BEED,27-04-2022,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Health/Hospital,18.9068356,75.6741579
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Osmanabad, Maharashtra",MAHARASHTRA,OSMANABAD,27-04-2022,"Andhra Pradesh, Telangna",Health/Hospital,18.9068356,75.6741579
Keshavraj Multi Speciality Cooperative Hospital & Research Centre Ltd,"Kolhaour, Maharashtra",MAHARASHTRA,KOLHAPUR,27-04-2022,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Health/Hospital,18.9068356,75.6741579
Vanashri Cooperative Power & Agro Progressive ltd,"Sangli , Maharashtra",MAHARASHTRA,SANGLI,26-04-2022,"Maharashtra, Gujarat, Rajasthan",Agro,18.9068356,75.6741579
"Samrudh Marathwada Multi State
Vehicle Services Cooperative Society Ltd.","Beed, maharashtra",MAHARASHTRA,BEED,20-04-2022,"Gujarat, Rajasthan",Others,18.9068356,75.6741579
"Bharathiyajkl Machuwara Samudaay Cooperative Ltd.
(BHARATHIJKLMASACO)","Baramulla, Kashmir",JAMMU AND KASHMIR,BADGAM,18-04-2022,"Haryana, Delhi",Fisheries,33.6649297,75.1629584
Prestige Agro Multi State Cooperative Society Ltd,Uttar Pradesh,UTTAR PRADESH,BULANDSHAHR,04-01-2022,"Haryana, Delhi, UttarPradesh, ",Agro,27.1303344,80.859666
Vidhata Hamal Multi State Cooperative Society Ltd,"Bhandara, Maharashtra",MAHARASHTRA,BHANDARA,04-01-2022,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Agro,18.9068356,75.6741579
"Dr Appasahed Urf Sa. Re. Patil
Jayysinghpur Udgaon Sahakari Bank Ltd","Kolhapur, maharashtra",MAHARASHTRA,KOLHAPUR,04-01-2022,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,18.9068356,75.6741579
Krushisadhna Mahila Multi State Agro Cooperative society Ltd,Nashik maharashtra,MAHARASHTRA,NASIK,04-01-2022,"Haryana, Punjab, Rajasthan",Agro,18.9068356,75.6741579
"Seva Sadan Multi Specialty
Cooperative Hospital and Research Center Ltd","Gate no. 14, Chaitnya Complex, behind Tahsil karyalaya, Shrigonda Dist - Ahmednagar Pin -413701 (Maharashtra)",MAHARASHTRA,AHMEDNAGAR,21-03-2022,"Haryana, Rajasthan",Agro,18.9068356,75.6741579
Bulandshahr Agro MultiState cooperative Society Ltd,"Mohalla Mahadev, Galimpur Road, Dibai, Bulandshahr, Uttar Pradesh-202393",UTTAR PRADESH,BULANDSHAHR,21-03-2022,"Gujarat, Rajasthan, Haryana, Delhi",Agro,27.1303344,80.859666
B K Dhanlakshmi Multi State Agro Cooperative Society Limited,"Mayflower signature, Office 7B, 7th Floor, Avinashi Road, Peelumedu, Coimbatore- 641004, Tamil Nadu",TAMIL NADU,COIMBATORE,03-08-2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro,10.9094334,78.3665347
The Walmik Multi State Cooperative Handloom Weavers Cooperative Society Ltd,"Plot No 63, Aoodumbae, Gurudev nagar, Nandanavan, Hanuman Nagar, Nagpur 440009, Maharashtra",MAHARASHTRA,NAGPUR,21-02-2022,"Maharashtra, Karnataka, Tamil nadu",Industrial/Textile,18.9068356,75.6741579
Ente Naadu Multi State Agro Co- operative Society Ltd.,"ST George High School, Aluva- Munnar Road, Kothamangalam, Ernakulam,
686691, Kerala",KERALA,ERNAKULAM,02-03-2022,"Haryana, Gujarat, Maharashtra, Delhi",Agro,10.3528744,76.5120396
Rajsidhi Cooperative Cotton & Agro Industries Ltd,"Ahmednagar 414401, Maharashtra",MAHARASHTRA,AHMEDNAGAR,01-12-2022,"Maharashtra, Gujarat, Rajasthan",Agro,18.9068356,75.6741579
Natural Agro Farming Multi State Cooperative Society Ltd.,"D77, S/F, East of Kailash, New delhi 110065",NEW DELHI,NEW DELHI,01-12-2022,"Kerala, karnataka, Maharashtra, Gujarat",Agro,28.6138954,77.2090057
Mansa Development Cooperative Society Ltd,"41 Sukh Sagar, phase 4 colony, near Mittal College, Rasal, Kharod Bhopal 38, Madhya Pradesh",MADHYA PRADESH,BHOPAL,10-12-2021,"Haryana, Delhi",Agro,23.8143419,77.5340719
Om Agro Multi State Cooperative society Ltd,Ahulana (Gohana) Sonipat Haryana 131301,HARYANA,SONIPAT,22-11-2021,"Haryana, Delhi",Agro,29,76
Ramchandra Multi Speciality Cooperative Hospital & Research Center Ltd,"S.No. 2/2, Near SBI bank, Savakar Colony, Islampur, Walwa, Sangli 415409,
Maharashtra",MAHARASHTRA,SANGLI,11-10-2021,"Haryana, UttarPradesh, Himachal, Punjab",Health/Hospital,18.9068356,75.6741579
Mudra Agriculture & Skill Development Multistate Cooperative Society Ltd,"15-A, 3-4-757/22, APHB Building Near Raghavendra Swamy Temple Opposite Telangana Grameena Bank, Barkatputra, Hyderabad 500027",TELANGANA,ADILABAD,04-12-2017,"Bihar, West bengal, Odisha",Agro,17.8495919,79.1151663
The Bhuj Mercantile Coop. Bank Ltd,"Vyapar Bhawan, Mithakhali 6 Roads, Ahmedabad-380006(Gujarat)",GUJARAT,AHMADABAD,14-09-2021,"Tamil Nadu, karnataks",Cooperative Bank,22.3850051,71.745261
Heaven Multi State Agro Cooperative Society Ltd,"Kh No 403, Babhani Nagar, Andar, Sominath Nagar, Ward No. 7, Deoria Kasiya Bypass Road, Deoria , Uttar Pradesh 274001",UTTAR PRADESH,MORADABAD,14-09-2021,"Haryana, Punajb",Agro,27.1303344,80.859666
The Sutex Cooperative Bank Ltd,"Surjaram, Bachkaniwala Bhawan, Near Navjivan Circle, Udhana Magdalla Road, Surat 395017 Gujarat",GUJARAT,VALSAD,14-09-2021,"Manipur, Meghalaya",Cooperative Bank,22.3850051,71.745261
The Navbharat Multi State Agro Farming and Marketing Cooperative Society Ltd,"Shop No 112, Floor-I, Sharda Arcade, Paliyad Road, Batod Gujarat",GUJARAT,BATOD,08-09-2021,"Maharashtra, Gujarat, Rajasthan",Agro,22.3850051,71.745261
"BharathiMana Fishermen development Cooperative Society ltd.
(BHARATHIMANACO)","Kha- Potshangham Maning, Leikai, PO & PS Bishnupur 795126 Manipur",MANIPUR,BISHNUPUR,07-06-2021,"Gujarat, Rajasthan",Fisheries,24.7208818,93.9229386
Agrovision Farmer Multi State Cooperative Society Ltd.,"H.No 3, Gate No 1, Krishna Colony, Near Universal School, Gorakhpur Kasya Road, Deoria, Uttar Pradesh 274001",UTTAR PRADESH,DEORIA,27-05-2021,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Agro,27.1303344,80.859666
Chitrakoot Multi State Agriculture Marketing Cooperative Society Ltd. (CMAMCS),"H.No 104, Village & Post Sahewa, thana-
Girwan, Tehsil Atarra, Banda, Uttar Pradesh 210120",UTTAR PRADESH,BANDA,29-04-2021,"Andhra Pradesh, Telangna",Agro,27.1303344,80.859666
CP Agrotech Multi State Cooperative Society Ltd.,"C/O Manoj Kumar, Mohalla-Kannon Goyan, Kasba- Jhinjhana, Jhinjhana Rural, Shamli, Uttar Pradesh 247773",UTTAR PRADESH,MUZAFFARNAGAR,16-03-2021,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Agro,27.1303344,80.859666
"Simplydesi Selfhelp Products, Processing and Marketing Multi State Cooperative Society Ltd","52, Ananda Park Extension, East Punjabi Bagh, New Delhi 110026",NEW DELHI,NEW DELHI,24-02-2021,"Maharashtra, Gujarat, Rajasthan",Fisheries,28.6138954,77.2090057
Bharati North East Fisherman Co-operative Ltd. (BHARATICO),"C/O Swambha Basumatary, near Simlaguri Post Office, Simlaguri, Dhaliagaon,
Chirang(BTR), Assam 783381",ASSAM,CHIRANG,15-02-2021,"Gujarat, Rajasthan",Fisheries,26.4073841,93.2551303
Chambal Agriculture Marketing Cooperative Ltd,"525, rajput Nagar, Bharouli road, Bhind, Madhya Pradesh 477001",MADHYA PRADESH,BHIND,15-01-2021,"Haryana, Delhi",Marketing,23.8143419,77.5340719
Sharda Agro Multi State Cooperative Society Ltd,"Bhopal, Madhya Pradesh",MADHYA PRADESH,BHOPAL,14-12-2020,"Haryana, Delhi, UttarPradesh, ",Agro,23.8143419,77.5340719
"N E Railway Cooperative Credit Society Ltd,","Chief Worshop Manager Office, NE Railway, Izzatnagar, Bareilly, Uttar Pradesh",UTTAR PRADESH,BAREILLY,24-11-2020,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Credit,27.1303344,80.859666
Ramraja Multi state Agro Cooperative Society ltd.,"102, Eligent Tower, Royal City, Shivpuri Road, Jhansi, 284003 Uttar Pradesh",UTTAR PRADESH,JHANSI,11-12-2020,"Maharashtra, Gujarat, Rajasthan",Agro,27.1303344,80.859666
Vitthal Rao Shinde Sahakari Sahkar Karkhana Ltd,"Gangamainagar, Post Pimpalner, Taluka Madha, Solapur, 413210 Maharashtra",MAHARASHTRA,SOLAPUR,11-05-2020,"Haryana, Punjab, Rajasthan",Industrial/Textile,18.9068356,75.6741579
Ambika Multi State Health Service for the Weaker Section Cooperative Society Ltd,"Sai Illam, Floor-2, 53/2, Bharatheshwarar,
3rd Street, Kodambakkam, Chennai 600024, Tamil Nadu",TAMIL NADU,CHENNAI,14-09-2020,"Haryana, Rajasthan",Agro,10.9094334,78.3665347
The UP Kisan Development cooperative Society Ltd,"65, Bheem Nagar, Vijay Khand 2, Gomti Nagar, Lucknow-226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,08-10-2020,"Gujarat, Rajasthan, Haryana, Delhi",Agro,27.1303344,80.859666
Farmtrade Agro Multi state Marketing Cooperative Ltd,"B-92. Mayfiels Garden Sector 48, Gurugram- 122002",HARYANA,GURGAON,08-10-2020,"Kerala, karnataka, Maharashtra, Gujarat",Marketing,29,76
Bihar State handloom Weavers Cooperative Union Ltd (BISHCOTEX),"Handloom Bhawan, Rajendra Place, Patna, Bihar",BIHAR,PATNA,14-07-2020,"Maharashtra, Karnataka, Tamil nadu",Agro,25.6440845,85.906508
Radhika Agricultural Cooperative Society Ltd,"Swami Puran Colony, Nai Basti, Jhansi 284002, Uttar Pradesh",UTTAR PRADESH,JHANSI,24-04-2020,"Haryana, Gujarat, Maharashtra, Delhi",Agro,27.1303344,80.859666
Farm to Foreign Exports Entrepreneur Development Multi State Cooperative Society Ltd,"H.No. 6-9, Gundugolanu(P.O), Bhimadole (Mandal), Andhra Pradesh-534427",ANDHRA PRADESH,WEST GODAVARI,16-01-2020,"Haryana, UttarPradesh, Himachal, Punjab",Agro,15.9240905,80.1863809
Dharitri Jute and Eco Friendly Products Multi State Cooperative Society Ltd,"D.No.12-2-42111, Alapati Nagar, Gudimalkapur, Hyderabad-500028, Telangana",TELANGANA,ADILABAD,12-12-2019,"Bihar, West bengal, Odisha",Agro,17.8495919,79.1151663
The Malabar Multi State Agro Cooperative Society Limited,"1st Floor, Aiswarya Complex, Thavakkara, Kannur, Kerala- 670002",KERALA,KANNUR,20-10-2019,"Haryana, Punajb",Agro,10.3528744,76.5120396
Sai Raam Multi State Agri Cooperative Society Ltd,"No.6. (D-18), 6th Cross West Extension, Thillai Nagar, Trichy, Tamil Nadu-620008",TAMIL NADU,DHARMAPURI,12-06-2019,"Manipur, Meghalaya",Agro,10.9094334,78.3665347
Prabhavana Multi State Womens? Jute and Allied Fibre Products Cooperative Society Ltd,", House. No 2-2-647/G/18/1, Near Shivam Road, DD Colony, Hyderabad, Telangana
500013",TELANGANA,ADILABAD,27-09-2019,"Maharashtra, Gujarat, Rajasthan",Agro,17.8495919,79.1151663
The Gayatri Cooperative Urban Bank Ltd,"7-1,72, 73,74 Gayatri Towers, Tehsil Chowrasta, Jagtial Town, Dist. Jagtail, Telangana",TELANGANA,KARIMNAGAR,23-08-2019,"Gujarat, Rajasthan",Cooperative Bank,17.8495919,79.1151663
Shri Saibaba Multi State Cooperative Dudh Utpadak & Prakriya Sangh Ltd,"A/p Lohgaon, Tal- Rahata, Dist. Ahmednagar, PIN 413712 Maharashtra",MAHARASHTRA,AHMEDNAGAR,08-06-2019,"Maharashtra,Goa.Karnataka, Andhra Pradesh",Dairy,18.9068356,75.6741579
Subhiksha Organic Farmers Multi State Cooperative Society Ltd,"Krushi Nivasa, At Kuruvalli,Thirthahalli, Shimoga, Karnataka 577432",KARNATAKA,SHIMOGA,07-03-2019,"Andhra Pradesh, Telangna",Agro,14.5203896,75.7223521
The Panipat Urban Cooperative Bank Ltd (PUCB),"510/8, G T Road,Panipat, Haryana 132103",HARYANA,PANIPAT,14-05-2019,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Cooperative Bank,29,76
Green Earth Agro Cooperative Society Ltd,"3/170, Vishwas Khand, Gomti Society , Lucknow 226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,05-03-2019,"Maharashtra, Gujarat, Rajasthan",Agro,27.1303344,80.859666
Bihar Cooperative Federation Ltd,"Budh Marg, Patna 800001, Bihar",BIHAR,PATNA,10-03-2018,"Gujarat, Rajasthan",Agro,25.6440845,85.906508
Bharathi Cooperative Housing Society Ltd,"87-A, Perambur High Road, Perambur Post, Chennai 600011 Tamil Nadu",TAMIL NADU,CHENNAI,18-05-2018,"Haryana, Delhi",Housing,10.9094334,78.3665347
The Surat People?s Cooperative Bank Ltd,"Vasudhara Bhavan, Timalyawad, Nanpura, Surat, Gujarat",GUJARAT,SURAT,28-03-2018,"Haryana, Delhi, UttarPradesh, ",Cooperative Bank,22.3850051,71.745261
Sanmati Sahakari Bank Ltd,"9/114, Laxmi Market, Ichalkaranji Kolhapur, Maharashtra 416115",MAHARASHTRA,JALGAON,27-03-2018,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Cooperative Bank,18.9068356,75.6741579
Reserve Bank Staff & Officers cooperative Credit Society Ltd,"C/ Reserve Bank of India, Amar Building, 2nd Floor, Sir P Road, Fort, Mumbai,
400001, Maharashtra",MAHARASHTRA,MUMBAI,13-02-2018,"Maharashtra, Gujarat, Rajasthan",Credit,18.9068356,75.6741579
Dev Lok Housing Cooperative Ltd,"A-55, Dwarka, Sector-19, New Delhi",NEW DELHI,NEW DELHI,02-02-2018,"Haryana, Punjab, Rajasthan",Housing,28.6138954,77.2090057
Maa Vaishno Agro Multi State Cooperative Society Ltd,"Shop No. 25, Block-A, Old LIC Building, Near BSNL Exchange, Super Market, Lalitpur,
284403, Uttar Pradesh",UTTAR PRADESH,LALITPUR,19-01-2018,"Haryana, Rajasthan",Agro,27.1303344,80.859666
Sree Balki Multi State Cooperative Housing Society Ltd,"No. 9, Elango Street, Kabilar, Nagar,
Manavala Nagar, Tiruvallur 602002, Tamil Nadu",TAMIL NADU,THIRUVALLUR,01-05-2018,"Gujarat, Rajasthan, Haryana, Delhi",Housing,10.9094334,78.3665347
"Southern Multi State Agro Cooperative Society Ltd,","27 Gokulam, Mount Pleasant Road, Conoor , Ooty, Tamil Nadu 643102",TAMIL NADU,COIMBATORE,19-12-2017,"Kerala, karnataka, Maharashtra, Gujarat",Agro,10.9094334,78.3665347
Dombivli Nagari Sahakari Bank Ltd,"Plot No P-52, MIDC Phase-II, Kalyan Shil Road, Dombovli (East) Maharashtra 421204",MAHARASHTRA,THANE,28-07-2017,"Maharashtra, Karnataka, Tamil nadu",Cooperative Bank,18.9068356,75.6741579
Lucknow Division Insurance Employees Cooperative Credit Society Ltd,"Jeevan Prakash Building, 30, Hazratganj , Lucknow, Uttar Pradesh 226001",UTTAR PRADESH,LUCKNOW,07-11-2017,"Haryana, Gujarat, Maharashtra, Delhi",Credit,27.1303344,80.859666
The Kalyan Janata Sahakari Bank Ltd,"Kalyanam astu, Om Vijaykrishna, Apt, Adharwadi, Kalyan, West, Thane
Maharashtra 421301",MAHARASHTRA,THANE,24-03-2017,"West bengal, Andhra Pradesh",Cooperative Bank,18.9068356,75.6741579
"The Eastern Railway Employees
Cooperative Bank Limited (Eastern & North East Frontier Railway Employees Co-
operative Bank Ltd.)","17, Neta Ji Subhash Road, Kolkata 700001",WEST BENGAL,MALDAH,22-03-2017,"Maharashtra, Gujarat, Rajasthan",Cooperative Bank,22.9964948,87.6855882
Purvanchal Krishi Avam Kisan kalyan Multi State Cooperative Society Ltd,"House No. 799, Vill: Taraya Sujan, Post : Tarya Sujan, Block : Seorahi, Tehsil :
Tamkihi Raj, Dist. Kushinagar, Pin 274409,
Uttar Pradesh",UTTAR PRADESH,KUSHI NAGAR,03-06-2017,"Gujarat, Rajasthan, Haryana, Delhi",Agro,27.1303344,80.859666
The Ajara Urban Cooperative Bank Limited,"393-B, Main Road Ajara, Kolhapur, 416505, Maharashtra",MAHARASHTRA,KOLHAPUR,17-02-2017,"Kerala, karnataka, Maharashtra, Gujarat",Cooperative Bank,18.9068356,75.6741579
Bihar State Housing Cooperative Federation Ltd,"Lalit Bhawan, Bailey Road, Patna , Bihar 800014",BIHAR,BUXAR,19-10-2016,"Maharashtra, Karnataka, Tamil nadu",Housing,25.6440845,85.906508
The Navodit Cooperative Urban Thrift & Credit Society Ltd,"147, South Amarkali, Delhi 110051",NEW DELHI,NEW DELHI,27-09-2016,"Haryana, Gujarat, Maharashtra, Delhi",Credit,28.6138954,77.2090057
Lokseva Multi State Credit Cooperative Society Ltd,"A/p Tisgaon Pravara, Rahata, Ahmednagar 413712 Maharashtra",MAHARASHTRA,NAGPUR,26-09-2016,"West bengal, Andhra Pradesh",Credit,18.9068356,75.6741579
